factor_name,overall_rank_ic,sign_consistency,bull_rank_ic,bear_rank_ic,sideways_rank_ic,ic_2021,ic_2022,ic_2023,ic_2024
CORR_PV_10,0.0448,0.75,0.1051,0.0566,0.0223,0.1185,0.0093,0.0309,-0.0131
WVMA_10,-0.0402,0.75,0.0052,-0.1523,-0.0173,-0.0332,-0.1762,0.1251,-0.1246
CORR_PV_20,0.0495,0.75,0.182,0.0503,0.0083,0.0339,0.0554,0.1124,-0.0758
WVMA_20,-0.0358,0.5,-0.0559,-0.1542,0.0118,0.0406,-0.2018,0.1028,-0.1255
TURNOVER_SURGE_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURNOVER_SURGE_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURNOVER_STD_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMOUNT_RATIO_5_20,0.025,0.5,0.0089,0.0155,0.0333,-0.0447,0.0789,0.0774,-0.0732
LIMIT_UP_SPACE,0.0292,0.75,0.0331,0.0023,0.0367,0.0396,-0.0246,0.085,0.0
IS_LIMIT_UP_LAG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IS_LIMIT_DOWN_LAG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPPER_SHADOW_RATIO,-0.0049,0.75,0.019,-0.0533,0.0032,-0.0392,-0.007,0.0536,-0.057
LOWER_SHADOW_RATIO,0.017,0.75,0.0021,0.0761,0.0026,0.015,0.0246,-0.0215,0.095
ENTITY_RATIO,-0.001,0.5,0.0049,-0.0315,0.0071,0.0638,-0.0218,-0.0486,0.0074
INTRADAY_CLOSE_LOC,0.0255,0.75,0.0011,0.0781,0.0161,0.0389,-0.004,0.0238,0.0677
LOG_CIRC_MV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFFICIENCY_RATIO_10,-0.0272,0.5,-0.0593,-0.0448,-0.0113,0.0412,0.0207,-0.105,-0.1128
AMIHUD_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMIHUD_20_LN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
